,nombre_completo_censo,año,ADM0NAME,ADM1NAME,ADM2NAME,poblacion,hombre,mujer,nacio_aqui,indigena,Afrodescendiente,discapacitado,alfabeto_si,alfabeto_no,alfabeto_si_15_o_mas,alfabeto_no_15_o_mas,sin_escolaridad_o_preescolar,primaria,secundaria,terciaria,posgrado,Ocupado,desocupado,inactivo,cantidad_de_viviendas,casa_o_departamento,viviendas_sin_bano,viviendas_sin_celular,viviendas_sin_agua_por_caneria_dentro_de_la_vivienda,viviendas_sin_electricidad,vivirendas_sin_alcantarillado,viviendas_sin_servicio_de_basura,viviendas_sin_internet,personas_en_casa_o_depto,personas_sin_cel,personas_sin_agua_por_caneria,personas_sin_alcantarillado,personas_sin_bano,personas_sin_electricidad,personas_sin_internet,personas_sin_servicio_basura,urb_poblacion,urb_hombre,urb_mujer,urb_nacio_aqui,urb_indigena,urb_Afrodescendiente,urb_discapacitado,urb_alfabeto_si,urb_alfabeto_no,urb_alfabeto_si_15_o_mas,urb_alfabeto_no_15_o_mas,urb_sin_escolaridad_o_preescolar,urb_primaria,urb_secundaria,urb_terciaria,urb_posgrado,urb_Ocupado,urb_desocupado,urb_inactivo,urb_cantidad_de_viviendas,urb_casa_o_departamento,urb_viviendas_sin_bano,urb_viviendas_sin_celular,urb_viviendas_sin_agua_por_caneria_dentro_de_la_vivienda,urb_viviendas_sin_electricidad,urb_vivirendas_sin_alcantarillado,urb_viviendas_sin_servicio_de_basura,urb_viviendas_sin_internet,urb_personas_en_casa_o_depto,urb_personas_sin_cel,urb_personas_sin_agua_por_caneria,urb_personas_sin_alcantarillado,urb_personas_sin_bano,urb_personas_sin_electricidad,urb_personas_sin_internet,urb_personas_sin_servicio_basura,Ciudad_norm_x,Estado_norm_x,estado_censo,estado_gdf,similitud_estado,indice,Estado_censo,nombre_censo,nombre_gdf,similitud,estado,ciudad,latitud,longitud,detalles,Ciudad_norm_y,Estado_norm_y,index_right,limraisg,area_sig_h,shape_Leng,shape_Area,Amazonas
0,ANTIOQUIA-MEDELLIN,2018,Colombia,ANTIOQUIA,MEDELLIN,2372330,1115273,1257057,,2071,59064,148803,2143618,75092,1893381,46058,94234,520432,991585,525847,82299,1039816,119585,910330,892151,869439,864,,,3866,22729,8816,263142,2324532,,38885,69165,1993,10399,727991,25019,2332487,1095152,1237335,,2035,58822,146812,2109095,72552,1863402,44100,91732,508109,975352,520585,81646,1021604,118319,895597,872150,849766,780,,,3602,13715,6198,254526,2285354,,30542,42443,1786,9717,703272,17391.0,medellin,antioquia,antioquia,antioquia,100,0,antioquia,medellin,medellin,100,,,,,,,,,,,,,False
1,ANTIOQUIA-ABEJORRAL,2018,Colombia,ANTIOQUIA,ABEJORRAL,17599,9139,8460,,2,62,2824,14815,1740,12546,1418,1547,9064,5036,737,149,7018,108,8154,8511,8413,14,,,59,3345,3358,4790,17475,,5680,10350,29,130,13857,10327,6957,3308,3649,,2,55,932,5963,596,5164,496,510,2782,2497,615,140,2685,88,3306,3196,3113,2,,,19,101,33,1575,6855,,110,295,3,22,4035,45.0,abejorral,antioquia,antioquia,antioquia,100,1,antioquia,abejorral,abejorral,100,,,,,,,,,,,,,False
2,ANTIOQUIA-ABRIAQUI,2018,Colombia,ANTIOQUIA,ABRIAQUI,2159,1171,988,,0,43,361,1860,145,1588,119,130,884,799,165,23,804,30,1009,1056,1001,17,,,39,362,424,659,2113,,790,1146,36,108,1978,1332,708,370,338,,0,23,104,621,34,542,23,33,204,297,102,15,293,10,313,426,382,1,,,5,7,10,217,693,,9,10,2,6,559,12.0,abriaqui,antioquia,antioquia,antioquia,100,2,antioquia,abriaqui,abriaqui,100,,,,,,,,,,,,,False
3,ANTIOQUIA-ALEJANDRIA,2018,Colombia,ANTIOQUIA,ALEJANDRIA,3839,1912,1927,,0,12,311,3210,336,2699,255,283,1771,1135,326,28,1441,30,1753,2155,2121,3,,,15,569,555,1178,3802,,1020,1637,6,37,3272,1607,2215,1040,1175,,0,11,159,1915,151,1627,108,112,890,736,302,24,900,26,949,1125,1102,0,,,6,11,8,620,2185,,5,16,0,10,1657,11.0,alejandria,antioquia,antioquia,antioquia,100,3,antioquia,alejandria,alejandria,100,,,,,,,,,,,,,False
4,ANTIOQUIA-AMAGA,2018,Colombia,ANTIOQUIA,AMAGA,26821,13242,13579,,9,125,2420,23215,2061,20066,1645,1851,9529,11277,2392,189,10559,859,11993,11638,11464,65,,,112,633,1410,6536,26449,,1107,1865,137,267,19311,4121,13032,6226,6806,,8,110,1365,11476,752,10084,555,607,3865,5912,1663,154,5218,530,5588,5155,5055,23,,,21,70,28,2493,12796,,81,187,46,35,7104,62.0,amaga,antioquia,antioquia,antioquia,100,4,antioquia,amaga,amaga,100,,,,,,,,,,,,,False
5,ANTIOQUIA-AMALFI,2018,Colombia,ANTIOQUIA,AMALFI,20265,10177,10088,,2,102,1640,16752,2068,13629,1584,2168,8338,6761,1366,137,7860,459,8564,8629,8234,199,,,651,2855,2419,5135,19434,,8257,8805,484,1533,15346,7293,11685,5490,6195,,2,86,979,9964,911,8204,669,948,3963,4571,1240,131,4259,387,5093,5025,4953,4,,,19,145,32,2386,11467,,264,455,7,50,6850,76.0,amalfi,antioquia,antioquia,antioquia,100,5,antioquia,amalfi,amalfi,100,,,,,,,,,,,,,False
6,ANTIOQUIA-ANDES,2018,Colombia,ANTIOQUIA,ANDES,38144,19777,18367,,248,225,4107,31404,3845,26767,2925,3468,16003,12984,2580,273,14929,662,16079,14552,14169,84,,,135,5531,3509,9643,36369,,12441,17829,288,447,29375,11167,19183,9722,9461,,29,171,1966,16227,1355,14152,988,1233,6532,7559,2115,233,7409,551,7643,7034,6825,8,,,16,477,59,4045,17812,,297,1590,16,32,11567,139.0,andes,antioquia,antioquia,antioquia,100,6,antioquia,andes,andes,100,,,,,,,,,,,,,False
7,ANTIOQUIA-ANGELOPOLIS,2018,Colombia,ANTIOQUIA,ANGELOPOLIS,5027,2538,2489,,3,27,1163,4250,481,3608,390,497,2135,1710,364,18,1992,69,2305,2336,2316,15,,,26,613,328,1074,4987,,560,1817,17,46,2851,972,1976,987,989,,0,13,385,1723,139,1501,107,157,678,789,224,8,832,34,849,881,877,4,,,7,47,3,364,1959,,8,135,4,11,893,5.0,angelopolis,antioquia,antioquia,antioquia,100,7,antioquia,angelopolis,angelopolis,100,,,,,,,,,,,,,False
8,ANTIOQUIA-ANGOSTURA,2018,Colombia,ANTIOQUIA,ANGOSTURA,10500,5327,5173,,0,49,1754,8435,1332,6887,1062,1173,4898,3213,404,32,3680,196,5049,4163,4107,54,,,62,2370,2167,2853,10428,,2883,8329,164,170,9648,7667,2369,1130,1239,,0,27,449,2051,176,1727,125,190,842,893,274,25,870,86,1097,1053,1043,1,,,4,88,32,599,2360,,40,238,1,8,1682,72.0,angostura,antioquia,antioquia,antioquia,100,8,antioquia,angostura,angostura,100,,,,,,,,,,,,,False
9,ANTIOQUIA-ANORI,2018,Colombia,ANTIOQUIA,ANORI,14502,7504,6998,,167,244,1564,11725,1577,9202,1115,1613,6463,4503,623,65,5260,228,6302,6550,6078,341,,,528,2758,2064,4088,13966,,7019,8759,748,1391,12863,6479,7045,3402,3643,,27,95,752,5765,662,4555,461,691,2576,2563,524,61,2535,171,2990,2921,2796,20,,,81,469,28,1733,6861,,746,1559,39,247,5460,76.0,anori,antioquia,antioquia,antioquia,100,9,antioquia,anori,anori,100,,,,,,,,,,,,,False
