,nombre_completo_censo,año,ADM0NAME,ADM1NAME,ADM2NAME,poblacion,hombre,mujer,nacio_aqui,indigena,Afrodescendiente,discapacitado,alfabeto_si,alfabeto_no,alfabeto_si_15_o_mas,alfabeto_no_15_o_mas,sin_escolaridad_o_preescolar,primaria,secundaria,terciaria,posgrado,Ocupado,desocupado,inactivo,cantidad_de_viviendas,casa_o_departamento,viviendas_sin_bano,viviendas_sin_celular,viviendas_sin_agua_por_caneria_dentro_de_la_vivienda,viviendas_sin_electricidad,vivirendas_sin_alcantarillado,viviendas_sin_servicio_de_basura,viviendas_sin_internet,personas_en_casa_o_depto,personas_sin_cel,personas_sin_agua_por_caneria,personas_sin_alcantarillado,personas_sin_bano,personas_sin_electricidad,personas_sin_internet,personas_sin_servicio_basura,urb_poblacion,urb_hombre,urb_mujer,urb_nacio_aqui,urb_indigena,urb_Afrodescendiente,urb_discapacitado,urb_alfabeto_si,urb_alfabeto_no,urb_alfabeto_si_15_o_mas,urb_alfabeto_no_15_o_mas,urb_sin_escolaridad_o_preescolar,urb_primaria,urb_secundaria,urb_terciaria,urb_posgrado,urb_Ocupado,urb_desocupado,urb_inactivo,urb_cantidad_de_viviendas,urb_casa_o_departamento,urb_viviendas_sin_bano,urb_viviendas_sin_celular,urb_viviendas_sin_agua_por_caneria_dentro_de_la_vivienda,urb_viviendas_sin_electricidad,urb_vivirendas_sin_alcantarillado,urb_viviendas_sin_servicio_de_basura,urb_viviendas_sin_internet,urb_personas_en_casa_o_depto,urb_personas_sin_cel,urb_personas_sin_agua_por_caneria,urb_personas_sin_alcantarillado,urb_personas_sin_bano,urb_personas_sin_electricidad,urb_personas_sin_internet,urb_personas_sin_servicio_basura,Ciudad_norm_x,Estado_norm_x,estado_censo,estado_gdf,similitud_estado,indice,Estado_censo,nombre_censo,nombre_gdf,similitud,DPA_CANTON,DPA_DESCAN,DPA_VALOR,DPA_ANIO,DPA_PROVIN,DPA_DESPRO,SUPERFICIE,Ciudad_norm_y,Estado_norm_y,index_right,limraisg,area_sig_h,shape_Leng,shape_Area,Amazonas
0,CUENCA_AZUAY,2010,Ecuador,AZUAY,CUENCA,505585,239497,266088,376904,9157,11281,20302,427886,30104,341499,17454,21012,203820,124648,100510,8615,223481,7847,226662,174579,150092,7787,31849,27576,1938,34313,15654,112028,457464,104373,106202,136925,24148,5629,413936,59439,329928,157426,172502,232112,3846,8980,12164,287435,13190,235521,5839,8590,107907,91886,87791,8062,152758,5991,141876,105100,92990,508,14226,7892,255,4894,1035,69447,297674,44987,29091,19783,1119,775,247887,3867.0,cuenca,azuay,azuay,azuay,100,0,azuay,cuenca,cuenca,100,,,,,,,,,,,,,,,False
1,GIRON_AZUAY,2010,Ecuador,AZUAY,GIRON,12607,5777,6830,10354,72,183,604,10069,1300,7695,975,1035,7304,2106,690,22,4888,142,6339,6318,5243,495,1615,1192,108,2133,1475,3404,11882,5131,4291,7795,1550,287,12200,5345,4016,1830,2186,3200,35,105,180,3372,284,2631,194,217,1950,994,414,16,1549,90,2017,1482,1391,20,448,58,5,84,46,1095,3857,1358,226,290,59,11,3805,145.0,giron,azuay,azuay,azuay,100,1,azuay,giron,giron,100,,,,,,,,,,,,,,,False
2,GUALACEO_AZUAY,2010,Ecuador,AZUAY,GUALACEO,42709,19481,23228,35192,2289,852,2107,33899,4418,24835,3137,3197,24538,7311,2555,117,17116,400,20801,19559,16531,2042,4043,4894,476,7166,5843,10524,39670,13266,19153,28505,6804,1412,40750,22774,13981,6481,7500,10002,95,612,657,11791,764,9209,401,570,6191,3859,1753,102,5977,210,6368,5072,4624,53,1075,448,33,521,212,3403,13151,3668,1764,2165,143,101,12751,809.0,gualaceo,azuay,azuay,azuay,100,2,azuay,gualaceo,gualaceo,100,0103,GUALACEO,0.0,2001,01,AZUAY,347.527164609,gualaceo,azuay,0.0,1.0,846654806.58,215.60126354,692.668742221,True
3,NABON_AZUAY,2010,Ecuador,AZUAY,NABON,15892,7340,8552,14273,5034,118,1081,11755,2537,8165,1924,2334,9482,1851,408,19,6162,96,8034,8583,7204,1013,1698,2748,331,3283,3552,4089,14981,5443,10714,12681,3145,1008,15634,13676,1229,549,680,950,20,48,63,1059,74,868,42,69,562,320,166,11,530,8,595,554,534,12,114,67,5,50,17,328,1193,304,233,161,19,10,1147,47.0,nabon,azuay,azuay,azuay,100,3,azuay,nabon,nabon,100,,,,,,,,,,,,,,,False
4,PAUTE_AZUAY,2010,Ecuador,AZUAY,PAUTE,25494,11881,13613,20392,175,605,1537,20156,2779,15122,2104,2155,14100,4800,1462,57,10508,246,12181,12234,10303,1081,2562,3180,239,4325,3439,6715,23677,7869,11652,16017,3187,626,24621,12549,7226,3396,3830,5198,45,246,405,5992,485,4712,291,352,2972,2169,880,36,3224,105,3148,2752,2448,28,542,306,9,222,95,1892,6674,1702,1083,795,14,32,6743,339.0,paute,azuay,azuay,azuay,100,4,azuay,paute,paute,100,0105,PAUTE,0.0,2001,01,AZUAY,270.784224252,paute,azuay,0.0,1.0,846654806.58,215.60126354,692.668742221,True
5,PUCARA_AZUAY,2010,Ecuador,AZUAY,PUCARA,10052,4898,5154,8100,97,128,854,7418,1524,5087,1114,1323,6045,1191,211,6,2937,62,5943,4009,3269,693,1222,1620,227,2131,1548,2456,8994,4642,6766,8744,2455,742,9900,6367,911,436,475,793,6,3,80,754,84,572,59,117,464,193,51,2,312,6,520,317,298,10,86,50,2,70,17,235,896,303,212,274,24,7,874,68.0,pucara,azuay,azuay,azuay,100,5,azuay,pucara,pucara,100,,,,,,,,,,,,,,,False
6,SAN FERNANDO_AZUAY,2010,Ecuador,AZUAY,SAN FERNANDO,3993,1744,2249,3203,8,76,235,3373,295,2564,233,261,2354,735,256,12,1692,33,1943,1914,1651,85,605,323,22,573,426,1070,3936,1981,1182,2129,223,55,3856,1538,1464,627,837,1145,2,56,98,1271,68,985,47,70,720,372,154,10,667,17,655,596,567,14,235,41,5,77,60,411,1431,719,131,262,26,7,1391,196.0,san fernando,azuay,azuay,azuay,100,6,azuay,san fernando,san fernando,100,,,,,,,,,,,,,,,False
7,SANTA ISABEL_AZUAY,2010,Ecuador,AZUAY,SANTA ISABEL,18393,8910,9483,14383,90,407,1068,15069,1481,11417,976,1218,10861,3052,1147,46,7460,138,8952,8497,7236,749,1994,1873,189,3317,2719,4803,16579,6620,7134,12534,2522,593,17737,10199,5607,2703,2904,3856,15,236,320,4729,306,3672,171,220,2717,1338,708,31,2316,69,2650,2037,1797,28,437,173,22,252,100,1451,5062,1436,643,932,92,60,5267,362.0,santa isabel,azuay,azuay,azuay,100,7,azuay,santa isabel,santa isabel,100,,,,,,,,,,,,,,,False
8,SIGSIG_AZUAY,2010,Ecuador,AZUAY,SIGSIG,26910,11915,14995,23829,380,398,1577,21198,2918,15180,1985,2435,16398,3757,1041,42,11611,223,12282,15136,11959,1380,3122,4033,349,5480,3819,6930,25349,9689,14994,20858,4081,928,25928,13757,3676,1685,1991,2979,22,100,239,3161,172,2500,92,141,1597,1037,501,29,1671,55,1607,1467,1353,18,259,113,10,124,91,900,3538,757,400,410,20,26,3196,278.0,sigsig,azuay,azuay,azuay,100,8,azuay,sigsig,sigsig,100,,,,,,,,,,,,,,,False
9,OÑA_AZUAY,2010,Ecuador,AZUAY,OÑA,3583,1647,1936,2683,128,36,246,2758,469,2082,356,386,1966,655,169,3,1501,40,1686,2436,2234,289,464,664,83,874,756,1086,3504,1210,2222,2920,809,184,3541,2412,846,395,451,554,1,7,62,719,50,548,31,47,414,224,75,3,332,5,432,460,435,15,94,80,6,111,86,251,813,250,302,378,45,20,821,277.0,ona,azuay,azuay,azuay,100,9,azuay,ona,ona,100,,,,,,,,,,,,,,,False
