,nombre_completo_censo,año,ADM0NAME,ADM1NAME,ADM2NAME,poblacion,hombre,mujer,nacio_aqui,indigena,Afrodescendiente,discapacitado,alfabeto_si,alfabeto_no,alfabeto_si_15_o_mas,alfabeto_no_15_o_mas,sin_escolaridad_o_preescolar,primaria,secundaria,terciaria,posgrado,Ocupado,desocupado,inactivo,cantidad_de_viviendas,casa_o_departamento,viviendas_sin_bano,viviendas_sin_celular,viviendas_sin_agua_por_caneria_dentro_de_la_vivienda,viviendas_sin_electricidad,vivirendas_sin_alcantarillado,viviendas_sin_servicio_de_basura,viviendas_sin_internet,personas_en_casa_o_depto,personas_sin_cel,personas_sin_agua_por_caneria,personas_sin_alcantarillado,personas_sin_bano,personas_sin_electricidad,personas_sin_internet,personas_sin_servicio_basura,urb_poblacion,urb_hombre,urb_mujer,urb_nacio_aqui,urb_indigena,urb_Afrodescendiente,urb_discapacitado,urb_alfabeto_si,urb_alfabeto_no,urb_alfabeto_si_15_o_mas,urb_alfabeto_no_15_o_mas,urb_sin_escolaridad_o_preescolar,urb_primaria,urb_secundaria,urb_terciaria,urb_posgrado,urb_Ocupado,urb_desocupado,urb_inactivo,urb_cantidad_de_viviendas,urb_casa_o_departamento,urb_viviendas_sin_bano,urb_viviendas_sin_celular,urb_viviendas_sin_agua_por_caneria_dentro_de_la_vivienda,urb_viviendas_sin_electricidad,urb_vivirendas_sin_alcantarillado,urb_viviendas_sin_servicio_de_basura,urb_viviendas_sin_internet,urb_personas_en_casa_o_depto,urb_personas_sin_cel,urb_personas_sin_agua_por_caneria,urb_personas_sin_alcantarillado,urb_personas_sin_bano,urb_personas_sin_electricidad,urb_personas_sin_internet,urb_personas_sin_servicio_basura,Ciudad_norm_x,Estado_norm_x,estado_censo,estado_gdf,similitud_estado,indice,Estado_censo,nombre_censo,nombre_gdf,similitud,estado,ciudad,latitud,longitud,detalles,Ciudad_norm_y,Estado_norm_y,index_right,limraisg,area_sig_h,shape_Leng,shape_Area,Amazonas
0,Libertador_Distrito Capital,2011,Venezuela,Distrito Capital,Libertador,1943901,935457,1008444,1458825,2888,63594,1838153,1715658,140815,1494255,27514,132668,461515,806133,394807,,,,,579717,562498,1281,320748,11861,591,10335,7995,319142,,,,,,,,,1942652,934809,1007843,,2882,63555,1836959,1714631,140698,,,132545,461143,805646,394711,,,,,580686,562208,1271,320748,11851,590,10245,7909,318841,,,,,,,,,libertador,distrito capital,distrito capital,distrito capital,100,0,distrito capital,libertador,libertador,100,,,,,,,,,,,,,False
1,Autonomo Alto Orinoco_Amazonas,2011,Venezuela,Amazonas,Autonomo Alto Orinoco,12687,6495,6192,12490,12410,4,11269,4371,6989,2929,4029,6881,2981,880,85,,,,,2899,978,2201,0,2688,1883,2742,2709,2791,,,,,,,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,autonomo alto orinoco,amazonas,amazonas,amazonas,100,0,amazonas,autonomo alto orinoco,autonomo alto orinoco,100,Amazonas,Autonomo Alto Orinoco,2.9440856,-65.038285,"Municipio Autónomo Alto Orinoco, Amazonas, 7102, Venezuela",autonomo alto orinoco,amazonas,0.0,1.0,846654806.58,215.60126354,692.668742221,True
2,Autonomo Atabapo_Amazonas,2011,Venezuela,Amazonas,Autonomo Atabapo,9169,4840,4329,8952,8624,32,8870,6533,1854,4704,732,1664,3511,2613,441,,,,,2432,1781,677,364,1148,158,1704,1547,1834,,,,,,,,,4200,2236,1964,,3672,31,3957,3217,700,,,606,1289,1518,406,,,,,1237,1029,122,364,246,3,717,561,846,,,,,,,,,autonomo atabapo,amazonas,amazonas,amazonas,100,1,amazonas,autonomo atabapo,autonomo atabapo,100,Amazonas,Autonomo Atabapo,3.7257935,-66.7222121,"Municipio Autónomo Atabapo, Amazonas, Venezuela",autonomo atabapo,amazonas,0.0,1.0,846654806.58,215.60126354,692.668742221,True
3,Autonomo Atures_Amazonas,2011,Venezuela,Amazonas,Autonomo Atures,104228,53053,51175,81680,36004,2669,97942,81131,15232,63088,5015,14487,25805,37376,15666,,,,,27497,23441,3543,8616,11478,406,15008,9428,22191,,,,,,,,,84114,42526,41588,,19127,2542,78840,67613,10596,,,10561,19662,31379,14478,,,,,22539,20545,1316,8616,7816,73,10898,5528,18023,,,,,,,,,autonomo atures,amazonas,amazonas,amazonas,100,2,amazonas,autonomo atures,autonomo atures,100,Amazonas,Autonomo Atures,5.733414,-67.4305405,"Municipio Autónomo Atures, Amazonas, 7101, Venezuela",autonomo atures,amazonas,0.0,1.0,846654806.58,215.60126354,692.668742221,True
4,Autonomo Autana_Amazonas,2011,Venezuela,Amazonas,Autonomo Autana,8352,4344,4008,8105,7912,17,7495,5554,1957,3791,894,1782,2708,2377,313,,,,,1762,1294,981,0,1099,265,1512,1332,1536,,,,,,,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,autonomo autana,amazonas,amazonas,amazonas,100,3,amazonas,autonomo autana,autonomo autana,100,Amazonas,Autonomo Autana,4.9400064,-67.4591999,"Municipio Autónomo Autana, Amazonas, Venezuela",autonomo autana,amazonas,0.0,1.0,846654806.58,215.60126354,692.668742221,True
5,Autonomo Maroa_Amazonas,2011,Venezuela,Amazonas,Autonomo Maroa,2029,1062,967,1915,1882,6,1887,1381,492,1039,251,429,756,523,100,,,,,624,538,265,0,240,111,438,342,452,,,,,,,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,autonomo maroa,amazonas,amazonas,amazonas,100,4,amazonas,autonomo maroa,autonomo maroa,100,Amazonas,Autonomo Maroa,2.5810371,-66.9153111,"Municipio Autónomo Maroa, Amazonas, Venezuela",autonomo maroa,amazonas,0.0,1.0,846654806.58,215.60126354,692.668742221,True
6,Autonomo Manapiare_Amazonas,2011,Venezuela,Amazonas,Autonomo Manapiare,7715,3932,3783,7580,7373,28,7432,4010,2945,2629,1618,2825,2409,1187,102,,,,,1870,1234,835,0,1336,573,1540,1400,1554,,,,,,,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,autonomo manapiare,amazonas,amazonas,amazonas,100,5,amazonas,autonomo manapiare,autonomo manapiare,100,Amazonas,Autonomo Manapiare,5.0504517,-66.1527484,"Municipio Autónomo Manapiare, Amazonas, 7104, Venezuela",autonomo manapiare,amazonas,0.0,1.0,846654806.58,215.60126354,692.668742221,True
7,Autonomo Rio Negro_Amazonas,2011,Venezuela,Amazonas,Autonomo Rio Negro,2300,1240,1060,2192,2109,23,2104,1452,653,1029,338,622,820,453,77,,,,,573,411,360,0,491,203,482,460,522,,,,,,,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,autonomo rio negro,amazonas,amazonas,amazonas,100,6,amazonas,autonomo rio negro,autonomo rio negro,100,Amazonas,Autonomo Rio Negro,1.7425556,-66.2359912,"Municipio Autónomo Río Negro, Amazonas, Venezuela",autonomo rio negro,amazonas,0.0,1.0,846654806.58,215.60126354,692.668742221,True
8,Anaco_Anzoategui,2011,Venezuela,Anzoategui,Anaco,122634,61703,60931,97838,754,3531,116067,104129,12032,85334,3051,11551,31787,49056,20130,,,,,44755,38745,831,17891,6782,92,12560,3304,27609,,,,,,,,,119954,60166,59788,,324,3422,113474,102021,11625,,,11180,30766,48119,19999,,,,,43354,37908,714,17891,6536,37,11662,2524,26713,,,,,,,,,anaco,anzoategui,anzoategui,anzoategui,100,0,anzoategui,anaco,anaco,100,,,,,,,,,,,,,False
9,Aragua_Anzoategui,2011,Venezuela,Anzoategui,Aragua,29168,14986,14182,26941,383,1140,26402,24248,3443,19934,1583,3446,8847,9562,5132,,,,,9593,8763,874,973,2135,162,4373,3265,7502,,,,,,,,,22429,11132,11297,,82,841,20066,18949,2346,,,2382,6079,7640,4655,,,,,6773,6463,205,973,201,23,2107,1264,5215,,,,,,,,,aragua,anzoategui,anzoategui,anzoategui,100,1,anzoategui,aragua,aragua,100,,,,,,,,,,,,,False
